Discipline,Publication Year,Life Sciences,Physics,Chemistry,Total citations after 10 years,Authors,Title,Journal,Vol/Issue/Page,Nobel Year,Laureate1,Laureate2,Laureate3
Physiology/Medicine,1998,2878,1,13,3023,"A. Poltorak, X. L. He, I. Smirnova, M. Y. Liu, C. Van Huffel, X. Du, D. Birdwell, E. Alejos, M. Silva, C. Galanos, M. Freudenberg, P. Ricciardi-Castagnoli, B. Layton, B. Beutler",Defective LPS Signaling in C3H/HeJ and C57BL/10ScCr Mice: Mutations in Tlr4 Gene,Science,282(5396): 2085-2088,2011,B.A. Beutler,,
Physiology/Medicine,1996,862,0,3,939,"B. Lemaitre, E. Nicolas, L. Michaut, J. M. Reichhart, J. A. Hoffmann",The dorsoventral regulatory gene cassette spatzle/Toll/cactus controls the potent antifungal response in Drosophila adults,Cell,86(6): 973-983,2011,J.A. Hoffmann,,
Physiology/Medicine,1973,142,0,0,148,"R. M. Steinman, Z. A. Cohn","Identification of a novel cell type in peripheral lymphoid organs of mice. I. Morphology, quantitation, tissue distribution",J. Exp. Med.,137:1142-1162,2011,R.M. Steinman,,
Physiology/Medicine,1982,183,0,0,218,"J. W. Szostak, E. H. Blackburn",Cloning yeast telomeres on linear plasmid vectors,Cell,29(1): 245-255,2009,E.H. Blackburn,J.W. Szostak,
Physiology/Medicine,1985,188,0,0,237,"C. W. Greider, E. H. Blackburn",Identification of a specific telomere terminal transferase activity in Tetrahymena extracts,Cell,43(2): 405-413,2009,C.W. Greider,,
Physiology/Medicine,1985,590,0,0,615,"E. Schwarz, U. K. Freese, L. Gissmann, W. Mayer, B. Roggenbuck, A. Stremlau, H. Z. Hausen",Structure and transcription of human papillomavirus sequences in cervical carcinoma cells,Nature,314(6006):111-114,2008,H. zur Hausen,,
Physiology/Medicine,1983,2664,0,53,3071,"F. Barresinoussi, …, L. Montagnier",Isolation of a T-lymphotropic retrovirus from a patient at risk for acquired immune deficiency syndrome (AIDS),Science,220(4599):868-871,2008,F. Barré-Sinoussi,L. Montagnier,
Physiology/Medicine,1981,203,0,1,239,"M. J. Evans, M. H. Kaufman",Establishment in culture of pluripotential cells from mouse embryos,Nature,292(5819): 154-156,2007,Sir M.J. Evans,,
Physiology/Medicine,1986,159,0,1,199,"K. R. Thomas, K. R. Folger, M. R. Capecchi",High frequency targeting of genes to specific sites in the mammalian genome,Cell,44(3): 419-428,2007,M.R. Capecchi,,
Physiology/Medicine,1985,264,0,1,321,"O. Smithies, R. G. Gregg, S. S. Boggs, M. A. Koralewski, R. S. Kucherlapati",Insertion of DNA sequences into the human chromosomal beta-globin locus by homologous recombination,Nature,317(6034):230-234,2007,O. Smithies,,
Physiology/Medicine,1998,3262,3,79,3633,"A. Fire, S. Q. Xu, M. K. Montgomery, S. A. Kostas, S. E. Driver, C. C. Mello", Potent and specific genetic interference by double-stranded RNA in Caenorhabditis elegans,Nature,391(6669): 806-811,2006,A.Z. Fire,C.C. Mello,
Chemistry,1988,236,6,30,382,"Dubochet, Jacques, et al.",Cryo-electron microscopy of vitrified specimens.,Quarterly reviews of biophysics,21.2: 129-228,2017,J. Dubochet,,
Chemistry,1984,153,7,12,261,"Adrian, Marc, et al.",Cryo-electron microscopy of viruses.,Nature,308.5954: 32-36,2017,J. Dubochet,,
Chemistry,1990,1359,49,232,1847,"Henderson, R., Baldwin, J. M., Ceska, T. A., Zemlin, F., Beckmann, E. A., & Downing, K. H.",Model for the structure of bacteriorhodopsin based on high-resolution electron cryo-microscopy,Journal of molecular biology,213(4): 899-929,2017,R. Henderson,,
Chemistry,1990,25,2,152,192,"Friedman, Alan E., et al.   ",A molecular light switch for DNA: Ru (bpy) 2 (dppz) 2+.,Journal of the American Chemical Society,112.12: 4960-4962.,2016,J.-P. Sauvage,,
Chemistry,1998,2,18,357,404,"Sauvage, Jean-Pierre.  ",Transition metal-containing rotaxanes and catenanes in motion: toward molecular machines and motors.,Accounts of chemical research ,31.10: 611-619.,2016,J.-P. Sauvage,,
Chemistry,1994,4,14,317,362,"Bissell, Richard A., et al. ",A chemically and electrochemically switchable molecular shuttle.,Nature, 369.6476: 133-137.,2016,J.F. Stoddart,,
Chemistry,1991,2,3,141,155,"Anelli, Pier Lucio, Neil Spencer, and J. Fraser Stoddart.  ",A molecular shuttle.,Journal of the American Chemical Society,113.13: 5131-5133.,2016,J.F. Stoddart,,
Chemistry,1999,9,70,333,473,"Koumura, Nagatoshi, et al.",Light-driven monodirectional molecular rotor.,Nature,4016749: 152-155.,2016,Feringa,,
Chemistry,1993,918,5,71,1108,"Lindahl, T.",Instability and decay of the primary structure of DNA.,Nature,"362(6422), 709-715.",2015,T. Lindahl,,
Chemistry,1989,144,0,1,161,"Lahue, R. S., Au, K. G., & Modrich, P.",DNA mismatch correction in a de???ned system.,Science,"24, 5.",2015,P. Modrich,,
Chemistry,1983,300,0,5,339,"Sancar, A., & Rupp, W. D.",A novel repair enzyme: UVRABC excision nuclease of Escherichia coli cuts a DNA strand on both sides of the damaged region.,Cell,"33(1), 249-260.",2015,A. Sancar,,
Chemistry,1989,6,86,54,177,"Moerner, W. E., & Kador, L.",Optical detection and spectroscopy of single molecules in a solid.,Physical review letters,"62(21), 2535.",2014,W.E. Moerner,,
Chemistry,1972,9,28,73,120,"A. Warshel, M. Karplus",Calculation of Ground and Excited State Potential Surfaces of Conjugated Molecules. I. Formulation and Parameterization,J. Am. Chem. Soc.,94 (16): 5612–5625,2013,M. Karplus,,
Chemistry,1976,88,10,61,177,"A. Warshel, M. Levitt","Theoretical studies of enzymic reactions: dielectric, electrostatic and steric stabilization of the carbonium ion in the reaction of lysozyme",J. Mol. Biol.,103(2): 227-249,2013,M. Levitt,,
Chemistry,1975,78,2,24,123,"M. Levitt, A. Warshel",Computer simulation of protein folding,Nature,253: 694-698,2013,A. Warshel,,
Chemistry,1986,646,0,12,746,"R. A. F. Dixon, B. K. Kobilka, et al.",Cloning of the gene and cDNA for mammalian β-adrenergic receptor and homology with rhodopsin,Nature,321: 75-79,2012,R.J. Lefkowitz,B.K. Kobilka,
Chemistry,1984,3,844,99,1443,"D. Shechtman, I. Blech, D. Gratias, J. W. Cahn",Metallic Phase with Long-Range Orientational Order and No Translational Symmetry,Phys. Rev. Lett.,53: 1951-1953,2011,D. Shechtman,,
Chemistry,1968,2,0,113,118,R. F. Heck,"Acylation, methylation, and carboxyalkylation of olefins by Group VIII metal derivatives",J. Am. Chem. Soc.,90(20): 5518-5526,2010,R.F. Heck,,
Chemistry,1976,1,0,64,65,"E. Negishi, S. Baba",Novel Stereoselective Alkenyl-Aryl Coupling Via Nickel-Catalyzed Reaction of Alkenylalanes with Aryl Halides,"J. Chem. Soc., Chem. Commun.",596b-597b,2010,E. Negishi,,
Chemistry,1979,2,0,52,54,"N. Miyaura, K. Yamada, A. Suzuki",A new stereospecific cross-coupling by the palladium-catalyzed reaction of 1-alkenylboranes with 1-alkenyl or 1-alkynyl halides ,Tetrahedron Letters,20(36): 3437-3440,2010,A. Suzuki,,
Chemistry,2000,903,18,72,1082,"B. T. Wimberly, et al",Structure of the 30S ribosomal subunit,Nature,407: 327-339,2009,V. Ramakrishnan,,
Chemistry,2000,1381,31,144,1709,"N. Ban, P. Nissen, J. Hansen, P. B. Moore, T. A. Steitz",The Complete Atomic Structure of the Large Ribosomal Subunit at 2.4 Å Resolution,Science,289: 905-920,2009,T.A. Steitz,,
Chemistry,2000,432,11,31,515,"F. Schluenzen, et al",Structure of Functionally Activated Small Ribosomal Subunit at 3.3 Å Resolution,Cell,102(5): 615-623,2009,A. E. Yonath,,
Chemistry,1994,2050,20,61,2326,"M. Chalfie, Y. Tu, G. Euskirchen, W. W. Ward, D. C. Prasher",Green fluorescent protein as a marker for gene expression,Science,263: 802-805,2008,M. Chalfie,,
Chemistry,1995,528,7,20,602,"R. Heim, A. B. Cubitt, R. Y. Tsien",Improved green fluorescence,Nature,373: 663-664,2008,R.Y. Tsien,,
Chemistry,1974,0,47,87,149,"H. Conrad, G. Ertl, E. E. Latta",Adsorption of hydrogen on palladium single crystal surfaces,Surface Science,41(2): 435-446,2007,G. Ertl,,
Chemistry,1974,649,2,12,768,R. D. Kornberg,Chromatin Structure: A Repeating Unit of Histones and DNA,Science,184: 868-871,2006,R.D. Kornberg,,
Chemistry,1972,1,0,61,64,"R. H. Grubbs, T. K. Brunck",Possible intermediate in the tungsten-catalyzed olefin metathesis reaction,J. Am. Chem. Soc.,94(7): 2538-2540,2005,R.H. Grubbs,,
Chemistry,1974,0,1,67,72,R. R. Schrock,Alkylcarbene complex of tantalum by intramolecular .alpha.-hydrogen abstraction,J. Am. Chem. Soc.,96(21): 6796-6797,2005,R.R. Schrock,,
Chemistry,1980,120,0,0,134,"A. Ciechanover, H. Heller, S. Elias, A. L. Haas, A. Hershko",ATP-dependent conjugation of reticulocyte proteins with the polypeptide required for protein degradation,PNAS,77: 1365-1368,2004,A. Ciechanover,,
Chemistry,1980,184,0,1,208,"A. Hershko, A. Ciechanover, H. Heller, A. L. Haas, I. A. Rose",Proposed role of atp in protein breakdown - conjugation of proteins with multiple chains of the polypeptide of ATP-dependent proteolysis,PNAS,77: 1783-1786,2004,A. Hershko,I. Rose,
Chemistry,1992,511,0,3,558,"G. M. Preston, T. P. Carroll, W. B. Guggino, P. Agre",Appearance of water channels in Xenopus oocytes expressing red cell CHIP28 protein,Science,256: 385-387,2003,P. Agre,,
Chemistry,1998,2383,102,277,3017,"D. A. Doyle, J. M. Cabral, R. A. Pfuetzner, A. L. Kuo, J. M. Gulbis, S. L. Cohen, B. T. Chait, R. MacKinnon",The structure of the potassium channel: molecular basis of K+ conduction and selectivity,Science,280: 69-77,2003,R. MacKinnon,,
Chemistry,1989,327,55,589,1219,"J. B. Fenn, M. Mann, C. K. Meng, S. F. Wong, C. M. Whitehouse",Electrospray ionization for mass-spectrometry of large biomolecules,Science,246: 64-71,2002,J.B. Fenn,,
Chemistry,1985,209,14,34,281,"M. P. Williamson, T. F. Havel, K. Wüthrich",Solution conformation of proteinase inhibitor-iia from bull seminal plasma by h-1 nuclear magnetic-resonance and distance geometry,J. Mol. Biol.,182: 295-315,2002,K. Wüthrich,,
Chemistry,1968,0,0,54,58,"W. S. Knowles, M. J. Sabacky","Catalytic asymmetric hydrogenation employing a soluble, optically active, rhodium complex",Chem. Comm.,22: 1445-&,2001,W.S. Knowles,,
Chemistry,1980,2,0,88,91,"A. Miyashita, A. Yasuda, H. Takaya, K. Toriumi, T. Ito, T. Souchi, R. Noyori","Synthesis of 2,2'-bis(diphenylphosphino)-1,1'-binaphthyl (binap), an atropisomeric chiral bis(triaryl)phosphine, and its use in the rhodium(i)-catalyzed asymmetric hydrogenation of alpha-(acylamino)acrylic acids",J. Am. Chem. Soc.,102: 7932-7934,2001,R. Noyori,,
Chemistry,1980,28,0,488,528,"T. Katsuki, K. B. Sharpless",The first practical method for asymmetric epoxidation,J. Am. Chem. Soc.,102: 5974-5976,2001,K.B. Sharpless,,
Chemistry,1977,2,68,171,264,"H. Shirakawa, E. J. Louis, A. G. MacDiarmid, C. K. Chiang, A. J. Heeger","Synthesis of electrically conducting organic polymers - halogen derivatives of polyacetylene, (ch)x",J. Am. Chem. Soc. - Chem. Comm.,16: 578-580,2000,A.J. Heeger,A.G. MacDiarmid,H. Shirakawa
Chemistry,1988,3,103,73,196,A. H. Zewail,Laser femtochemistry,Science,242: 1645-1653,1999,A.H. Zewail,,
Chemistry,1964,0,81,12,93,"P. Hohenberg, W. Kohn",Inhomogeneous Electron Gas,Phys. Rev.,136: B864,1998,W. Kohn,,
Chemistry,1965,2,275,29,321,"W. Kohn, L. J. Sham",Self-Consistent Equations Including Exchange and Correlation Effects,Phys. Rev.,140: A1133-A1138,1998,W. Kohn,,
