rank,PubYear,Life Sciences,Physics,Chemistry,Computers,Engineering,Mathematics,Agriculture & Environment,Humanity,Others,Sums of cits
53,1988,4662.559524,1,32.65,49.01904762,11,5.471428571,26.46666667,0.5,321.3333333,5110
54,2001,4493.466667,2.5,25.76666667,83.46666667,49.61666667,180.3166667,46.2,4.5,199.5,5085.333333
55,1982,4407.5,2.5,63.15,17.53333333,9.666666667,2.5,14.81666667,0.5,558.8333333,5077
56,1984,4691.166667,0,8.333333333,0,10.5,0,39.5,0.5,306,5056
57,2000,4382.95,8.333333333,33.25,252.8166667,46.61666667,100.1333333,39.16666667,5.666666667,185.9,5054.833333
58,2000,4928.866667,4.833333333,4.666666667,2.7,13.75,3.683333333,0.5,0,11,4970
59,1990,4662.438095,1.166666667,68.61190476,1.916666667,65.11666667,0.583333333,4,2.333333333,123.8333333,4930
60,1981,4735.683333,8.3,11.35,0,66,0,5.333333333,1.333333333,85,4913
61,1984,4436.65,4.833333333,123.2666667,0,13.33333333,0,9.666666667,3.25,270,4861
62,2002,4757.85,0.333333333,7.666666667,3.333333333,22.83333333,2.9,18.08333333,19,25,4857
63,1987,4610.509524,2,86.18095238,0,23.00952381,0,3.133333333,3.5,116.6666667,4845
64,1985,4393.283333,1.616666667,135.9,0.5,47.21666667,0,145.7333333,4,106.75,4835
65,1961,3119.5,0,2.166666667,0,163.3333333,0,16,0,112,3413
66,2001,4217.666667,11.21666667,179.0166667,4.15,57.9,3.816666667,11.73333333,2.5,212,4700
67,1977,3673.166667,1,142.5,2.5,10.33333333,1,15.66666667,0.5,815.3333333,4662
68,1993,4287.891667,10,169.6666667,1,20,7.416666667,10.73333333,6.025,139.2666667,4652
69,2002,498.65,2161,33.36666667,378.3666667,245.2166667,995.3166667,47.16666667,15.5,228.8333333,4603.416667
70,1999,99.58333333,41.23333333,4329.083333,0,105.9333333,0,27.16666667,0,3,4606
71,1993,4277.933333,0.2,8.916666667,0.166666667,20.65,0.333333333,7.766666667,0,201.0333333,4517
72,1983,4068.05,0,26.65,0.5,7.666666667,0,28.3,0,373.8333333,4505
73,1999,3881.966667,7.883333333,41.98333333,1,486.1666667,0,10.5,0,72.5,4502
74,1991,3722.200794,5.166666667,164.4936508,4.888888889,4.416666667,0.333333333,0.5,1,584,4487
75,1996,58.4,88.98181818,2,8.5,82.23030303,8.166666667,4130.221212,0.333333333,100.8333333,4479.666667
76,1998,4230.05,3.666666667,60.95,0.5,32.16666667,1.333333333,34.91666667,1.083333333,108.3333333,4473
77,1999,2.166666667,2728.633333,892.3833333,4.166666667,731.9833333,16.16666667,69.5,0,28,4473
78,1991,4210.75,0,19.75,2.666666667,29.15,2.233333333,21.25,0.5,171.7,4458
79,1990,4110.895238,1,52.97142857,0,12.11666667,0,19.01666667,0,255,4451
80,2001,5.666666667,1569.933333,1244.15,0,1483.966667,4,5.033333333,0,20.25,4333
81,1981,4042.416667,0,22.58333333,0,22,0,20.41666667,0.25,219.3333333,4327
82,1998,0.333333333,4280.75,0,1,1,1.583333333,7.333333333,0,27,4319
83,1986,4073.433333,0.833333333,60.78333333,0,10,0,9.733333333,3.983333333,148.2333333,4307
84,1981,3725.183333,4.566666667,16.91666667,5.083333333,9.333333333,2.5,2.25,2.166666667,505,4273
